KPI Name (Executive Summary),Dataset  used,       COLUMN USED, Formula Used 
TOTAL CONSUMERS, Own Site ,  Customer _ID,  Sum Of (Consumers)
New consumer MoM (Month over month ) Growth," E-commerce, Retail,Own Site "," Transaction _Amount, Transaction_Date  ",(Current Month-Previous Month) / Previous Month *100
Repeat Purchase Rate ," Retail , Own Site ","Repeat _Purchase _Rate , Purchase History ",(Returning Customers / Total Consumer)*100
churn rate,"E-commerce , Retail , Own Site ","Churn Risk, Churn Status, Last_Transaction_Date,Churned",Total Completed Purchase Value-Quantity Purchased/Total Orders in Time Slot*100
Customer LifeTime Value (CLV),  E-Commerce,"First_Transaction_Date , Last_Transaction_Date,purchase Frequency, Average_Order_value",(Average Order Value*Purchase Frequency)* Custmer Lifespan
Average Order Value (AOV),"Own Site , E-commerce", Average _Order _Value,Total Revenue / Total Orders 
Net promoter Score (NPS)," Own Site, E-Commerce","Product Review , Product  Rating",%Promoters -%Detractors 
Cart Abandonment Rate,E-Commerce ,Cart _ Abandonment _Rate ,(Cart Abondonment /Carts Created )*100
Geo - wise Consumer Disribution ," Own Site, E-Commerce,Retail "," Location ,Delivery_Location_City , Store_Location_City",(Consumer in region / Total Consumers)*100
Channel preferences (% Share),"Own Site , E-commerce"," Referral_ Source, Traffic_Source",( Sales From channel / Total Sales )*100
Consumer Segmentation ,"Own Site, Retail","    Age , Customer Segment", ( Customers In Segment / Total Customer) *100
Purchase Frequency Trend ,   E- Commerce,"Purchase Frequency , Category",(Total Orders in Quarter/ Total Customer in Quarter)*100
,,,
,,,
KPI NAME (Category  Summary),Data Set Used , Column Used ,Formula Used 
Top performing Categories,E-Commerce ,"Purchase History , Previous Category ",(Total Completed Purchase Value-Quantity Purchased) /Total Orders in Time Slot
Category with Highest  (YoY) Growth,E-Commerce ,"  Transaction_ Amount , Transaction_Date , Category",(Current Year Sales - Previous Year Sales) / Previous Year Sales*100
Most  Purchased Product In Category , Own Site ,   Product _Purchased , Maximum (Unit/Product Sold)
Category Contribution to Revenue ,  Retail ," Category , Category _Share_ In_Retailer_ Sales",Sales Growth Rate for Region=(Sales In Current Period - Sales In previous Period)/ Sales In previous Period
Category-wise Purchase Frequency, Retail ,    Transaction_Date ,Purchase Per 100 Customer= Total Orders/ Total Unique Customers*100
Category Switching Behavior, Own Site ,"Churned , Customer_ID, Transaction _Date , Previous Category", (Customers Who Switched Categories / Total Customers)*100
Category Wise Average Order Value (AOV)," Own Site , E-commerce",  Average_Order_Value,Average Order Value (AOV)=Total Revenue / Total Orders
 Top Consumer Segments per Category, Retail ,"  Consumer_ Segment , Categories",(Segment Purchases / Total Purchases)*100
Profit Margin % ,Own Site , Profit Margin (%), (Profit / Revenue)*100
,,,
KPI NAME ( Regional Summary ),Data Set Used, Column Used,Formula Used
Top Revenue Region ,"Retail Data , Own Site","Total _Revenue , Region",Top Revenue Region=Region with Maximum Revenue
Highest Repeat Customers ,   Own Site,"Purchase History , Purchase _Count"," Repeat Purchase = Total Purchases / Total Time Period (in month ,years, etc.)"
Highest  New Customers ," Own Site , Retail ","Total Revenue , Total Purchases , Customer_ ID","Highest New Customer= Max (N1,N2,......,N(t) where (N1,N2,......,N(t) are the number of new customers "
Average Order Value ( AOV) & Basket Size By Region ," Own Site , E-commerce","Order _ID , Product Category , Avg Order Value"," AOV=Total Revenue / Total Number Of Orders, Basket Size=Total No. Of Item Sold/Total No. Of Orders"
Sales Trend By Region ,   E-Commerce ,"  IP_Region ,  Order_ID",Sales Growth Rate for Region=(Sales In Current Period-Sales in Previous Period)/Sales in Previous Period*100
customer Composition By Region ," Own Site , E-commerce"," IP_Region , Customer Composition",Customer Composition by Region (%) = Numbers Of Customers in Region / Total Numbers Of Customers *100
Region Wise Sales Performance ,  data_own_site," Region,Region-wise Revenue , Profit Margin (%)","Total Sales in Region=∑(Sales for each transaction in the region),Sales Growth %=  Sales in Previous Period (Sales in Current Period−Sales in Previous Period) ​  ×100"
,,,
KPI NAME  ( Channel Summary),Data Set Used,Coumn Used,Formula Used
Top Revenue Generating Channel,"Retail_data ,   data_own_site,E-com"," Total_Revenue ,  Profit Margin , Revenue Trend,Quality Purchased,Rate Of Refund , Price Paid ","Revenue for Channel=Units Sold×Price per Unit , Total Revenue=∑Revenue for each Channel"
Channel With Highest (Average Order Value) AOV,"Retail_data ,   data_own_site,E-com","
Avg Order Value , Total_Revenue , Quantity_Sold , Transaction_ID","AOV for Channel=Total Revenue for Channel /  Number of Orders for Channel , AOV=Total Revenue/Number Of Orders"
Highest Growth Channel  (MoM %),"Retail Data , E-commerce","Total Revenue , Discount, Last Transaction Amount , Quality Purchased, Price Paid ",MoM Growth (%)= Revenue in Current Month−Revenue in Previous Month/Revenue in Previous Month ​*100
Sales Split By Channel ,"Retail Data , E-commerce,Own Site","  Total Revenue , Discount , Quality Purchased ,Price Paid  ,Total _Revenue ",Sales Split by Channel (%)=Revenue from Channel ​/ Total Revenue *100
Repeat Purchase Rate Per Channel , Retail Data, Repeat Purchase Rate ,Repeat Purchase Rate = Number of Customers with More Than One Purchase / Total Number of Customers *100
Avg. Basket Size Per Channel, Retail Data, Basket Size ,Average Basket Size (Per Channel)= Total Number of Items Sold / Total Numbers Of Orders 
Marketing Effectiveness Per Channel,"Retail Data , Data_Own_Site","Revenue from Channel , Total Revenue , In_Store_Advertising_Effectiveness ",Marketing Effectiveness = Revenue Generated by Channel / Marketing Spend For Channel *100
,,,
KPI NAME (Consumer Behavior Insights),Data Set Used,Column Used ,Formula Used
Most Engaged Consumer Segment ," Retail Data,E-Commerce,Own Site"," Consumer Segment, Product View, Ad Clicks, Impressions,Age, Page View,Time Spent,Engagement Score",Engagement Score=(Purchase Frequency)+(Interaction with Campaigns)+(Time Spent on Website) ​
Highest Spending Consumer  Segment ,"Retail Data,E-Commerce,Own Site","Category, Quantity Sold, Total Revenue , Click Stream Data, Average_Order_Value","Total Spend for Segment=∑(Total Spend per Customer in Segment), Total Spend for Segment=Total Spend per Customer×Number of Customers in Segment"
Top Cross Purchased Product ,Retail Data,  Cross Purchased Products,Cross Purchase Frequency=Count of Customers who Bought Product A and Product B Together
Cart Abandonment Rate , E-Commerce,"Cart Abandonment , Total Completed Purchase Value",Cart Abandonment Rate=Number of Carts Created−Number of Purchases Completed/Number of Carts Created *100
Time Of Day Analysis ,"E-Commerce, Data_Own_Site","Transaction Date,  Total Order In a Time Slot, Transaction_Date",Metric for Time of Day=Total Value of Metric for Specific Time Slot / Total Value of Metric for All Time Slots*100
